Adj Close,Close,High,Low,Open,Volume,date,day_of_week,day,month,hl_pct,oc_pct,volatility_5d,volatility_10d,ma_5,ma_10,ma_20
AVGO,AVGO,AVGO,AVGO,AVGO,AVGO,,,,,,,,,,,
126.45074462890625,129.31199645996094,129.90199279785156,125.25599670410156,127.79299926757812,31105000,2024-03-11,0,11,3,3.5928577556132204,1.1886388151844494,4.650636474756596,3.7654975076461286,134.03199768066406,133.89169921875,130.21494941711427
126.32950592041016,129.18800354003906,130.7790069580078,125.9280014038086,130.6999969482422,42789000,2024-03-12,1,12,3,3.7549969202022333,-1.1568427264783192,4.468774079170446,3.988863696711134,133.014599609375,133.84819946289062,130.3493495941162
123.00375366210938,125.78700256347656,128.28799438476562,125.23600006103516,128.28799438476562,37838000,2024-03-13,2,13,3,2.4263193028948478,-1.9495135404393373,4.246333042469322,4.110898155395028,131.1720001220703,133.53269958496094,130.38044967651368
123.43402099609375,126.22699737548828,127.31300354003906,124.77100372314453,126.25399780273438,38029000,2024-03-14,3,14,3,2.0138321197111484,-0.0213857998289136,4.060333477196305,4.149881073850715,128.2771987915039,133.1504997253418,130.38069953918458
120.81625366210938,123.55000305175781,126.73699951171875,123.00700378417969,125.34600067138672,88823000,2024-03-15,4,15,3,3.019017106763231,-1.4328320090063205,2.9614046410369363,3.8245537480618745,126.81280059814453,131.51379928588867,130.23284950256348
120.98639678955078,123.7239990234375,126.28800201416016,123.16999816894531,125.39800262451172,25737000,2024-03-18,0,18,3,2.520128568285437,-1.3349523645020156,2.7468588035713792,3.6987476391639875,125.69520111083985,129.86359939575195,130.19164962768554
121.06169128417969,123.8010025024414,124.0270004272461,120.4020004272461,121.69499969482422,24491000,2024-03-19,1,19,3,2.9280861436711816,1.7305582093746104,2.581476648265169,3.5251253637178075,124.61780090332032,128.81620025634766,130.24894981384278
125.30801391601562,127.5999984741211,128.7989959716797,122.65899658203125,123.9020004272461,40946000,2024-03-20,2,20,3,4.8119118049156615,2.984615287988368,3.058595148669332,3.6524640955693273,124.98040008544922,128.07620010375976,130.49169960021973
132.37869262695312,134.8000030517578,140.36099243164062,131.60000610351562,132.83200073242188,72468000,2024-03-21,3,21,3,6.499247870759419,1.48157244375194,3.9556782988789863,4.008005888037646,126.69500122070312,127.48610000610351,130.70719947814942
132.9158477783203,135.3470001220703,137.6219940185547,134.61500549316406,135.0,38624000,2024-03-22,4,22,3,2.2216883437967616,0.2570371274594907,3.7962125462856924,3.3788085936613137,129.0544006347656,127.93360061645508,130.99269981384276
132.7302703857422,135.1580047607422,135.843994140625,133.7469940185547,134.5030059814453,21237000,2024-03-25,0,25,3,1.5515175189086576,0.4869770563991946,3.602490336410336,3.174674569990858,131.34120178222656,128.5182014465332,131.2049503326416
130.75733947753906,133.1490020751953,137.99400329589844,133.05099487304688,136.468994140625,23522000,2024-03-26,1,26,3,3.712388636649353,-2.432781223556604,3.7593508350059706,3.1704137416355698,133.21080169677734,128.91430130004883,131.38125038146973
