Adj Close,Close,High,Low,Open,Volume,date,day_of_week,day,month,hl_pct,oc_pct,volatility_5d,volatility_10d,ma_5,ma_10,ma_20
GOOG,GOOG,GOOG,GOOG,GOOG,GOOG,,,,,,,,,,,
137.90567016601562,138.94000244140625,139.97999572753906,137.07000732421875,137.07000732421875,22536400,2024-03-11,0,11,3,2.094420866695689,1.364262798034514,2.2905392730807286,2.0772539933792995,135.36199951171875,136.63999938964844,140.48699874877929
138.5806427001953,139.6199951171875,140.27999877929688,138.2100067138672,138.25,19019700,2024-03-12,1,12,3,1.4825899855477558,0.9909548768083183,2.2177941152730787,2.0834712070326735,136.52999877929688,136.5919982910156,140.03149871826173
139.72207641601562,140.77000427246094,142.19000244140625,140.00999450683594,140.05999755859375,19637000,2024-03-13,2,13,3,1.5486310068946918,0.5069304057142783,2.1065775592128966,2.046236546655051,138.1720001220703,136.9259994506836,139.7514991760254
143.26547241210938,144.33999633789062,144.72999572753906,141.48500061035156,142.3000030517578,36117900,2024-03-14,3,14,3,2.2481607312717227,1.4335862560669232,2.0888918211494825,2.1007857972891655,139.99199829101562,137.38199920654296,139.6114990234375
141.11163330078125,142.1699981689453,144.33999633789062,141.1300048828125,143.41000366210938,41039500,2024-03-15,4,15,3,2.2578543268064095,-0.8646575981447289,1.9263313834432538,2.1799175603846903,141.16799926757812,137.79099884033204,139.52299880981445
147.3746795654297,148.47999572753906,152.92999267578125,148.13999938964844,149.3699951171875,47676700,2024-03-18,0,18,3,3.2260192779924743,-0.5958354547378761,2.152651065702611,2.22159516939167,143.07599792480468,139.21899871826173,139.8589988708496
146.81883239746094,147.9199981689453,149.6199951171875,147.00999450683594,148.97999572753906,17748400,2024-03-19,1,19,3,1.7644677140751293,-0.7115032816434755,2.2090266114080856,2.2134103633405817,144.73599853515626,140.63299865722655,140.14499893188477
148.56573486328125,149.67999267578125,149.75999450683594,147.6649932861328,148.7899932861328,17730000,2024-03-20,2,20,3,1.3996534762271562,0.5981580951730476,2.1792311052745785,2.1429043322437376,146.51799621582032,142.34499816894532,140.4369987487793
147.6327362060547,148.74000549316406,151.30499267578125,148.00999450683594,150.32000732421875,19843900,2024-03-21,3,21,3,2.2152736636121393,-1.0510921727450755,2.1726536917426618,2.130772756446072,147.397998046875,143.69499816894532,140.60799865722657
150.6401824951172,151.77000427246094,152.55999755859375,150.08999633789062,150.24000549316406,19252900,2024-03-22,4,22,3,1.627463366390188,1.0183697572924344,2.0465754996594177,1.9864534415513355,149.31799926757813,145.2429992675781,140.93199920654297
150.02476501464844,151.14999389648438,151.45599365234375,148.8000030517578,150.9499969482422,15114700,2024-03-25,0,25,3,1.7571886919194337,0.13249218435609678,1.7528093824448092,1.95273022407371,149.85199890136718,146.46399841308593,141.5519989013672
150.57069396972656,151.6999969482422,153.1999969482422,151.02999877929688,151.24000549316406,19312700,2024-03-26,1,26,3,1.4304536668419867,0.3041466796950866,1.6860065729981808,1.9475165922031334,150.60799865722657,147.6719985961914,142.13199844360352
150.8089141845703,151.94000244140625,152.69000244140625,150.1300048828125,152.14500427246094,16622000,2024-03-27,2,27,3,1.6848739748974144,-0.13474108600212117,1.7430506727322324,1.9611408890034057,151.06000061035155,148.78899841308595,142.85749893188478
151.12652587890625,152.25999450683594,152.6699981689453,151.3300018310547,152.0,21105600,2024-03-28,3,28,3,0.8800711849693807,0.17104901765522204,1.4760101770036809,1.8243319343731712,151.76399841308594,149.58099822998048,143.48149871826172
