Adj Close,Close,High,Low,Open,Volume,date,day_of_week,day,month,hl_pct,oc_pct,volatility_5d,volatility_10d,ma_5,ma_10,ma_20
SMCI,SMCI,SMCI,SMCI,SMCI,SMCI,,,,,,,,,,,
108.02200317382812,108.02200317382812,111.0999984741211,102.5,110.0250015258789,71155000,2024-03-11,0,11,3,7.96133956179469,-1.820493818925017,8.83705511971746,7.8435331175524805,111.910400390625,101.09109954833984,92.97545051574707
116.30000305175781,116.30000305175781,116.63200378417969,109.4000015258789,112.42900085449219,67473000,2024-03-12,1,12,3,6.218402466492002,3.4430637716647077,7.854907689458502,7.819158421825746,113.35380096435547,104.2099998474121,94.92540054321289
118.80699920654297,118.80699920654297,119.80000305175781,112.23400115966797,114.87300109863281,58760000,2024-03-13,2,13,3,6.368313266574926,3.4246498918682624,7.750425074544681,8.033474671940287,114.62120056152344,107.92529983520508,96.90830039978027
113.01100158691406,113.01100158691406,119.56300354003906,111.05500030517578,117.5,62445000,2024-03-14,3,14,3,7.5284734365618196,-3.820424181349734,8.018794249657551,8.191485219737828,114.02820129394532,110.56520004272461,98.15610046386719
106.88300323486328,106.88300323486328,113.55999755859375,106.6259994506836,112.34500122070312,169640000,2024-03-15,4,15,3,6.487465638173997,-4.861807758682278,6.912798873919485,8.332214085664535,112.60460205078125,112.19870071411133,98.48025054931641
100.06800079345703,100.06800079345703,114.77899932861328,95.20600128173828,110.69999694824219,115307000,2024-03-18,0,18,3,19.559697297514898,-9.604332834585486,9.232470421063528,9.034762770390495,111.01380157470703,111.46210098266602,99.46705055236816
91.09700012207031,91.09700012207031,92.5,86.30000305175781,88.86100006103516,104844000,2024-03-19,1,19,3,6.805928779141102,2.5162895527839377,9.349975683593348,8.602441686525925,105.97320098876953,109.6635009765625,100.0840503692627
89.64700317382812,89.64700317382812,90.55000305175781,85.5,90.0,76457000,2024-03-20,2,20,3,5.633209000824836,-0.39221869574652773,9.202954830443328,8.476689952494006,100.14120178222656,107.381201171875,100.89555053710937
97.16100311279297,97.16100311279297,99.44400024414062,90.61599731445312,93.80000305175781,85630000,2024-03-21,3,21,3,9.08595284822161,3.583155598812287,9.514450712775288,8.76662248121642,96.97120208740235,105.49970169067383,100.87600059509278
97.27400207519531,97.27400207519531,98.5469970703125,94.72000122070312,95.4540023803711,50691000,2024-03-22,4,22,3,3.934243238651792,1.9066771947097303,9.003806232870847,7.958302553395166,95.04940185546874,103.827001953125,101.43965072631836
104.27899932861328,104.27899932861328,107.27400207519531,96.69999694824219,97.2750015258789,70172000,2024-03-25,0,25,3,10.140109892722865,7.200203230910299,7.119888751912439,8.176179586487983,95.8916015625,103.45270156860352,102.27190055847169
102.50599670410156,102.50599670410156,110.61100006103516,102.21099853515625,108.69999694824219,63563000,2024-03-26,1,26,3,8.194644016902474,-5.69825245449631,7.397631799464714,8.37380374152903,98.17340087890625,102.07330093383788,103.141650390625
102.3290023803711,102.3290023803711,104.78099822998047,98.63400268554688,104.21199798583984,52578000,2024-03-27,2,27,3,6.007090269075778,-1.8068894578958254,7.472408053114902,8.337681441779116,100.70980072021484,100.42550125122071,104.17540054321289
101.00299835205078,101.00299835205078,103.30000305175781,99.7020034790039,100.86199951171875,34631000,2024-03-28,3,28,3,3.5622700627291346,0.1397938183008648,6.367671496016408,7.941061104395847,101.4781997680664,99.22470092773438,104.89495048522949
103.71499633789062,103.71499633789062,106.9000015258789,100.5,101.0,51852000,2024-04-01,0,1,4,6.170758088857752,2.6881151860303216,6.814974466057599,7.909390349464223,102.76639862060547,98.90790023803712,105.55330047607421
100.99099731445312,100.99099731445312,101.26000213623047,97.50900268554688,100.0,42301000,2024-04-02,1,2,4,3.714191908615578,0.990997314453125,5.529790869236143,6.324839810574291,102.10879821777344,99.00019989013671,105.23115043640136
101.55699920654297,101.55699920654297,104.24500274658203,96.58300018310547,97.5,61824000,2024-04-03,2,3,4,7.54453422544896,4.1610248272235575,5.399768910945439,6.398700355205077,101.91899871826172,100.04619979858398,104.85485038757324
95.79900360107422,95.79900360107422,105.71800231933594,95.61599731445312,103.06999969482422,58166000,2024-04-04,3,4,4,10.545000078445007,-7.0544252598024615,6.307350872819285,6.8898794629670945,100.61299896240234,100.6613998413086,104.0213005065918
94.802001953125,94.802001953125,98.1989974975586,93.2020034790039,96.80000305175781,53445000,2024-04-05,4,5,4,5.270979426178636,-2.0640506566559766,6.649092745509185,6.508382120762796,99.37279968261718,100.4254997253418,102.96260070800781
92.8499984741211,92.8499984741211,96.4000015258789,90.19999694824219,96.25,43167000,2024-04-08,0,8,4,6.677441765779639,-3.5324691177962664,6.750429480893563,6.782701973475582,97.19980010986328,99.98309936523438,101.9050506591797
90.41999816894531,90.41999816894531,93.7239990234375,88.0999984741211,92.5,40212000,2024-04-09,1,9,4,6.21986359567077,-2.24865062816723,7.251563818304601,6.390677343770372,95.08560028076172,98.59719924926758,101.02495040893555
90.85399627685547,90.85399627685547,92.4000015258789,87.11000061035156,87.61499786376953,41373000,2024-04-10,2,10,4,5.822529698536707,3.6968538401635063,6.907162912922151,6.153465911933795,92.94499969482422,97.43199920654297,99.75265007019043
93.72799682617188,93.72799682617188,94.53600311279297,90.71900177001953,91.19999694824219,36770000,2024-04-11,3,11,4,4.072423898968475,2.771929783467403,5.612647677026844,5.9599992749230655,92.53079833984376,96.57189865112305,98.49869995117187
89.8489990234375,89.8489990234375,92.4990005493164,89.4000015258789,92.02999877929688,33322000,2024-04-12,4,12,4,3.4491191411371345,-2.369879153307143,5.2482756200185445,5.948684182763865,91.54019775390626,95.45649871826171,97.34059982299804
88.2750015258789,88.2750015258789,93.63600158691406,88.10800170898438,91.19999694824219,42011000,2024-04-15,0,15,4,6.2622484082417,-3.207231930087974,5.165236948510956,5.95783321470226,90.62519836425781,93.91249923706054,96.41019973754882
97.62999725341797,97.62999725341797,98.14600372314453,89.30000305175781,90.13200378417969,71214000,2024-04-16,1,16,4,9.060740469371492,8.31890244800522,5.7334123232511,6.492488070777851,92.06719818115235,93.57639923095704,96.28829956054688
96.00800323486328,96.00800323486328,102.03299713134766,94.94100189208984,99.20099639892578,71675000,2024-04-17,2,17,4,7.386879218713409,-3.2187107790956384,6.046282227286442,6.476722570104296,93.0979995727539,93.02149963378906,96.53384971618652
92.8479995727539,92.8479995727539,97.29900360107422,91.74600219726562,96.18800354003906,43007000,2024-04-18,3,18,4,5.98074425874665,-3.472370612094939,6.427946299242076,6.02029698813446,92.92200012207032,92.72639923095703,96.69389953613282
71.36499786376953,71.36499786376953,89.08300018310547,71.09500122070312,87.0999984741211,172385000,2024-04-19,4,19,4,25.20563231395326,-18.06544303789707,10.7792489338053,8.013762276911923,89.22519989013672,90.38269882202148,95.40409927368164
